locationcode,hiv_prev_all2008,hiv_prev_all2009,hiv_prev_all2010,hiv_prev_all2011,hiv_prev_all2012,hiv_prev_all2013,hiv_prev_all2014,hiv_prev_all2015,hiv_prev_all2016,hiv_prev_all2017,hiv_prev_all2018
80,700,729,779,796,807,846,858,879,946,994,1033
160,1877,1897,1546,1718,1697,1444,1567,1769,2060,2140,2168
200,1097,1148,758,1470,1485,1474,1527,1600,1648,1723,1812
240,1171,1204,1254,1315,1357,1372,1356,1375,983,1198,1167
520,20833,22281,18158,20633,23231,31569,27990,30774,31795,34684,36549
640,3936,4099,4678,4890,5057,5233,5439,5624,5833,6022,6294
680,1353,1396,1476,1456,1418,1406,1441,1471,1457,1581,1697
720,15902,16348,14228,13154,15159,16486,16047,17573,16674,15855,15027
760,3665,3864,4169,4437,4511,4709,4881,4924,5059,5117,5188
1000,3102,3236,2435,2867,3204,3632,3846,3905,3973,4161,4310
1123,11368,11677,11373,11649,12756,13169,13431,13660,13825,14127,14294
1280,1881,1936,1814,2097,2180,2228,2306,2301,2467,2521,2549
1440,1969,2032,1546,2504,1695,1701,1772,2468,2522,2539,2644
1520,5728,6038,6006,6703,6391,6014,6591,7568,7940,8225,8645
1600,24342,25335,15745,22616,25680,26603,27326,28130,28797,28998,29350
1640,2736,2902,3084,3157,3240,3376,3509,3788,4009,4229,4415
1680,4085,4235,4164,4286,4425,4620,4798,4943,5222,5359,5462
1720,675,688,629,661,696,724,741,773,826,884,942
1760,3471,3576,989,3847,1548,1797,2867,3798,3844,4059,4258
1840,4015,4265,4361,4588,4804,4983,5117,5286,5479,5650,5741
1920,14086,14818,15724,16756,17373,18141,18950,19726,20461,21241,22236
2000,1162,1198,1296,1319,1351,1392,1426,1485,1582,1623,1655
2020,1273,1313,1349,1375,1540,1593,1681,1728,1786,1871,1959
2080,7706,7868,7522,7759,7978,8089,8265,8518,9048,9201,9454
2160,8131,8473,7484,7943,8359,8711,9369,9417,9625,9603,10143
2320,1443,1498,1614,1674,1771,1908,1987,2016,2052,2136,2234
2680,14279,14774,15247,15672,16574,17062,17902,18474,18862,19195,19500
2800,3627,3822,4158,4346,4748,4987,5072,5395,5715,5998,6265
2840,1232,1298,1320,1377,1506,1569,1618,1640,1802,1912,1985
3000,795,848,968,996,1021,1035,1065,1084,1181,1192,1212
3120,1946,2039,2031,2155,2229,2251,2355,2496,2614,2738,2800
3160,1391,1446,557,1724,665,665,764,1855,1949,1982,2113
3240,1175,1206,1121,1163,1166,1210,1178,1165,660,864,816
3283,3145,3151,836,1057,1334,2214,3120,3261,3306,3391,3607
3320,1341,1395,1001,1257,1381,1447,1497,1499,1496,1552,1532
3360,20015,20999,22232,23200,24396,25355,26467,27621,28525,29521,30607
3480,3893,4057,4360,4539,4697,4863,5058,5202,5344,5565,5732
3600,5105,5345,5458,5610,5867,6027,6293,6487,6656,6836,7063
3760,3919,4053,3842,3996,4068,4165,4257,4406,4516,4691,4847
3840,973,1010,1139,1143,1159,1169,1122,1158,1250,1271,1102
4120,4984,5196,5489,5689,5900,6139,6633,7080,7500,8057,8607
4400,1482,1560,1602,1634,1710,1777,1906,1992,2126,2246,2311
4480,38540,40107,40803,42328,44126,45793,47116,47938,47918,48651,49473
4520,2498,2617,2137,2228,2601,3077,3210,2389,3471,3634,3707
4880,760,806,938,854,873,921,1000,1142,1290,1336,1468
4920,5957,6216,6129,4484,5989,6566,6601,6791,6912,7069,7163
5000,23497,24193,23078,23574,23858,24070,24466,25034,25684,25993,26343
5080,2630,2714,2548,2629,2692,2911,2957,3006,3066,2993,2334
5120,5344,5597,5560,5806,6069,6215,6335,6447,6824,7051,7278
5360,4229,4393,4598,4319,4068,4806,4901,4807,5028,5134,5131
5380,5065,5180,4646,5071,5078,5090,5517,5607,5855,6015,6149
5483,2824,2875,533,737,938,2541,3120,3180,3234,3297,3232
5560,7002,7213,5941,6322,6372,6714,7118,7344,7612,7791,7991
5600,107231,108870,98929,102808,104739,106158,112266,113697,116101,117124,118151
5640,13714,13902,10868,11675,12532,13048,13113,13341,13334,13496,13457
5720,5458,5610,4893,5040,5395,5534,5173,5216,4741,5682,6044
5775,6058,6309,6659,6967,7240,7479,7633,7435,8139,8402,8739
5880,2092,2193,2135,2216,1852,2362,2504,2590,2665,2755,2828
5920,1033,1088,697,516,384,407,461,579,474,448,386
5945,5567,5804,6096,6240,6258,6274,6327,6082,6533,6790,6886
5960,8388,8795,8631,8865,9344,9695,10277,10676,11154,11662,12206
6160,16181,16773,9768,10518,11882,16729,17544,17674,18092,17906,17836
6200,8209,8564,8598,9287,9757,10144,10659,11073,11449,11825,12317
6280,2521,2618,2689,2790,2896,2961,3049,3133,2284,2804,2969
6440,3674,3815,4445,4615,4773,4837,4913,5156,5261,5367,5514
6483,2906,3002,3028,3064,3254,3340,3299,3314,3452,3697,2612
6640,4447,4666,4947,5116,5177,5021,5376,5667,5899,5896,6028
6760,3672,3805,3650,3757,4045,4178,4114,3533,3143,3170,3293
6780,6396,6696,7155,7445,7783,8037,8274,7724,11281,12633,13495
6840,2539,2606,2490,2701,2744,2841,2740,2763,2845,2898,2872
6920,2952,3109,3506,3729,3882,3981,4091,4228,4868,4988,5132
7040,5679,5892,4796,5431,6077,6290,6475,6689,6766,6986,7151
7160,1630,1694,1541,1606,1624,1744,1794,1829,1888,1908,1986
7240,4075,4329,4740,5156,5381,5626,5882,6193,6416,6676,6906
7320,10453,10922,10675,10943,11157,11251,11442,11252,12587,12971,13148
7360,14879,15160,15444,15043,15098,14965,14363,14817,13978,13964,13831
7400,2755,2871,2858,3062,3120,3139,3092,2971,3032,3164,3322
7510,1455,1495,1535,1585,1702,1766,1838,1900,1898,1968,1996
7560,480,507,541,567,565,552,568,599,407,582,511
7600,6547,6751,6084,6568,6697,7081,7326,7359,7763,7880,8044
8003,1712,1728,1786,1812,1944,2002,2038,2108,2121,2132,2164
8120,946,984,1021,1043,1022,1106,1209,1248,1253,1281,1316
8160,939,955,950,1028,1083,1108,1171,1186,1263,1267,1322
8200,831,877,809,871,882,1076,1236,1323,1390,1406,1496
8280,9008,9283,9601,9884,10432,10722,11296,11748,12184,12556,12832
8400,832,858,862,894,928,914,919,947,1021,1018,1038
8520,1770,1818,1865,1962,2057,2130,2195,2316,2377,2486,2590
8560,1343,1394,1452,1549,1581,1675,1724,1779,1847,1881,1921
8735,761,791,811,844,865,867,886,938,976,1049,1074
8840,26506,27739,26915,26806,29047,29853,28818,31533,31508,30718,31199
8960,7004,7163,6811,6870,7075,7244,7423,7598,7687,7847,7927
9040,653,687,782,808,822,813,845,858,882,899,937
9160,2165,2205,2215,2271,2306,2295,2286,2286,2287,2377,2347
9320,566,591,651,677,699,725,756,765,746,777,780
