aids_diag_apids,cityfip,year
0,0080,1981
0,0160,1981
0,0200,1981
0,0240,1981
0,0440,1981
9,0520,1981
0,0640,1981
2,0680,1981
2,0720,1981
0,0760,1981
6,0875,1981
0,1000,1981
7,1123,1981
6,1280,1981
0,1440,1981
0,1520,1981
5,1600,1981
0,1640,1981
1,1680,1981
0,1720,1981
0,1760,1981
0,1840,1981
1,1920,1981
0,2000,1981
0,2020,1981
0,2080,1981
3,2160,1981
1,2320,1981
2,2680,1981
0,2760,1981
0,2800,1981
0,2840,1981
1,2960,1981
0,3000,1981
0,3120,1981
0,3160,1981
0,3240,1981
2,3283,1981
1,3320,1981
11,3360,1981
0,3480,1981
1,3600,1981
5,3640,1981
2,3760,1981
0,3840,1981
0,4120,1981
0,4400,1981
27,4480,1981
0,4520,1981
0,4880,1981
0,4920,1981
10,5000,1981
2,5015,1981
0,5080,1981
0,5120,1981
0,5160,1981
0,5190,1981
0,5360,1981
0,5380,1981
6,5483,1981
2,5560,1981
181,5600,1981
13,5640,1981
0,5720,1981
4,5775,1981
1,5880,1981
0,5920,1981
6,5945,1981
1,5960,1981
6,6160,1981
1,6200,1981
1,6280,1981
2,6440,1981
0,6483,1981
1,6640,1981
0,6760,1981
3,6780,1981
0,6840,1981
0,6920,1981
1,7040,1981
0,7160,1981
1,7240,1981
2,7320,1981
32,7360,1981
0,7400,1981
1,7440,1981
0,7510,1981
0,7560,1981
0,7600,1981
0,8003,1981
0,8120,1981
3,8160,1981
0,8200,1981
5,8280,1981
0,8400,1981
0,8520,1981
0,8560,1981
0,8720,1981
0,8735,1981
6,8840,1981
1,8960,1981
0,9040,1981
1,9160,1981
0,9320,1981
1,0080,1982
0,0160,1982
0,0200,1982
1,0240,1982
0,0440,1982
13,0520,1982
0,0640,1982
1,0680,1982
3,0720,1982
0,0760,1982
5,0875,1982
1,1000,1982
15,1123,1982
3,1280,1982
2,1440,1982
0,1520,1982
18,1600,1982
0,1640,1982
3,1680,1982
1,1720,1982
3,1760,1982
1,1840,1982
5,1920,1982
1,2000,1982
0,2020,1982
5,2080,1982
1,2160,1982
0,2320,1982
7,2680,1982
0,2760,1982
1,2800,1982
0,2840,1982
1,2960,1982
0,3000,1982
0,3120,1982
1,3160,1982
2,3240,1982
1,3283,1982
3,3320,1982
20,3360,1982
5,3480,1982
0,3600,1982
24,3640,1982
0,3760,1982
0,3840,1982
1,4120,1982
0,4400,1982
88,4480,1982
2,4520,1982
0,4880,1982
0,4920,1982
50,5000,1982
1,5015,1982
0,5080,1982
4,5120,1982
0,5160,1982
2,5190,1982
2,5360,1982
11,5380,1982
11,5483,1982
7,5560,1982
473,5600,1982
36,5640,1982
3,5720,1982
15,5775,1982
1,5880,1982
0,5920,1982
9,5945,1982
1,5960,1982
17,6160,1982
4,6200,1982
2,6280,1982
2,6440,1982
1,6483,1982
2,6640,1982
0,6760,1982
1,6780,1982
3,6840,1982
4,6920,1982
4,7040,1982
0,7160,1982
5,7240,1982
4,7320,1982
109,7360,1982
0,7400,1982
10,7440,1982
2,7510,1982
1,7560,1982
1,7600,1982
1,8003,1982
0,8120,1982
3,8160,1982
0,8200,1982
5,8280,1982
0,8400,1982
1,8520,1982
2,8560,1982
0,8720,1982
1,8735,1982
22,8840,1982
11,8960,1982
2,9040,1982
0,9160,1982
1,9320,1982
0,0080,1983
6,0160,1983
1,0200,1983
1,0240,1983
0,0440,1983
35,0520,1983
5,0640,1983
0,0680,1983
24,0720,1983
3,0760,1983
30,0875,1983
0,1000,1983
56,1123,1983
4,1280,1983
5,1440,1983
2,1520,1983
57,1600,1983
9,1640,1983
8,1680,1983
0,1720,1983
3,1760,1983
5,1840,1983
27,1920,1983
2,2000,1983
0,2020,1983
23,2080,1983
12,2160,1983
2,2320,1983
42,2680,1983
0,2760,1983
2,2800,1983
3,2840,1983
2,2960,1983
1,3000,1983
3,3120,1983
2,3160,1983
3,3240,1983
6,3283,1983
6,3320,1983
81,3360,1983
4,3480,1983
9,3600,1983
33,3640,1983
9,3760,1983
0,3840,1983
4,4120,1983
1,4400,1983
279,4480,1983
2,4520,1983
0,4880,1983
2,4920,1983
126,5000,1983
16,5015,1983
2,5080,1983
5,5120,1983
2,5160,1983
6,5190,1983
1,5360,1983
38,5380,1983
18,5483,1983
20,5560,1983
1032,5600,1983
81,5640,1983
6,5720,1983
33,5775,1983
5,5880,1983
1,5920,1983
22,5945,1983
6,5960,1983
45,6160,1983
7,6200,1983
6,6280,1983
6,6440,1983
4,6483,1983
5,6640,1983
3,6760,1983
11,6780,1983
4,6840,1983
6,6920,1983
4,7040,1983
4,7160,1983
16,7240,1983
24,7320,1983
305,7360,1983
8,7400,1983
28,7440,1983
1,7510,1983
0,7560,1983
13,7600,1983
3,8003,1983
1,8120,1983
6,8160,1983
5,8200,1983
5,8280,1983
0,8400,1983
3,8520,1983
1,8560,1983
2,8720,1983
1,8735,1983
68,8840,1983
19,8960,1983
1,9040,1983
1,9160,1983
0,9320,1983
3,0080,1984
19,0160,1984
3,0200,1984
3,0240,1984
0,0440,1984
83,0520,1984
20,0640,1984
4,0680,1984
37,0720,1984
7,0760,1984
62,0875,1984
3,1000,1984
97,1123,1984
12,1280,1984
6,1440,1984
9,1520,1984
142,1600,1984
13,1640,1984
14,1680,1984
0,1720,1984
4,1760,1984
10,1840,1984
79,1920,1984
11,2000,1984
5,2020,1984
36,2080,1984
34,2160,1984
1,2320,1984
61,2680,1984
1,2760,1984
10,2800,1984
4,2840,1984
4,2960,1984
3,3000,1984
3,3120,1984
6,3160,1984
3,3240,1984
12,3283,1984
21,3320,1984
210,3360,1984
15,3480,1984
12,3600,1984
62,3640,1984
23,3760,1984
3,3840,1984
5,4120,1984
0,4400,1984
502,4480,1984
6,4520,1984
3,4880,1984
8,4920,1984
201,5000,1984
28,5015,1984
9,5080,1984
24,5120,1984
4,5160,1984
11,5190,1984
4,5360,1984
69,5380,1984
57,5483,1984
64,5560,1984
1783,5600,1984
145,5640,1984
7,5720,1984
69,5775,1984
5,5880,1984
1,5920,1984
46,5945,1984
20,5960,1984
118,6160,1984
23,6200,1984
13,6280,1984
24,6440,1984
10,6483,1984
9,6640,1984
6,6760,1984
29,6780,1984
9,6840,1984
18,6920,1984
22,7040,1984
6,7160,1984
9,7240,1984
56,7320,1984
602,7360,1984
28,7400,1984
89,7440,1984
9,7510,1984
3,7560,1984
61,7600,1984
9,8003,1984
5,8120,1984
17,8160,1984
5,8200,1984
25,8280,1984
1,8400,1984
5,8520,1984
6,8560,1984
3,8720,1984
3,8735,1984
196,8840,1984
60,8960,1984
1,9040,1984
5,9160,1984
1,9320,1984
4,0080,1985
23,0160,1985
9,0200,1985
14,0240,1985
9,0440,1985
206,0520,1985
42,0640,1985
8,0680,1985
104,0720,1985
13,0760,1985
127,0875,1985
11,1000,1985
214,1123,1985
16,1280,1985
17,1440,1985
19,1520,1985
271,1600,1985
9,1640,1985
41,1680,1985
6,1720,1985
7,1760,1985
26,1840,1985
157,1920,1985
10,2000,1985
13,2020,1985
84,2080,1985
66,2160,1985
4,2320,1985
153,2680,1985
4,2760,1985
42,2800,1985
9,2840,1985
6,2960,1985
11,3000,1985
12,3120,1985
6,3160,1985
11,3240,1985
39,3283,1985
40,3320,1985
378,3360,1985
26,3480,1985
35,3600,1985
165,3640,1985
42,3760,1985
5,3840,1985
15,4120,1985
7,4400,1985
965,4480,1985
12,4520,1985
3,4880,1985
16,4920,1985
348,5000,1985
48,5015,1985
14,5080,1985
44,5120,1985
10,5160,1985
35,5190,1985
16,5360,1985
121,5380,1985
76,5483,1985
110,5560,1985
2792,5600,1985
323,5640,1985
26,5720,1985
148,5775,1985
24,5880,1985
11,5920,1985
86,5945,1985
31,5960,1985
232,6160,1985
76,6200,1985
41,6280,1985
50,6440,1985
12,6483,1985
19,6640,1985
27,6760,1985
58,6780,1985
24,6840,1985
52,6920,1985
49,7040,1985
20,7160,1985
35,7240,1985
143,7320,1985
958,7360,1985
61,7400,1985
128,7440,1985
18,7510,1985
5,7560,1985
110,7600,1985
9,8003,1985
11,8120,1985
28,8160,1985
8,8200,1985
82,8280,1985
6,8400,1985
24,8520,1985
5,8560,1985
15,8720,1985
7,8735,1985
396,8840,1985
88,8960,1985
4,9040,1985
14,9160,1985
5,9320,1985
12,0080,1986
36,0160,1986
16,0200,1986
3,0240,1986
8,0440,1986
323,0520,1986
70,0640,1986
9,0680,1986
178,0720,1986
17,0760,1986
181,0875,1986
18,1000,1986
343,1123,1986
32,1280,1986
26,1440,1986
23,1520,1986
466,1600,1986
28,1640,1986
69,1680,1986
14,1720,1986
19,1760,1986
47,1840,1986
338,1920,1986
23,2000,1986
19,2020,1986
147,2080,1986
108,2160,1986
12,2320,1986
262,2680,1986
6,2760,1986
63,2800,1986
13,2840,1986
7,2960,1986
6,3000,1986
32,3120,1986
15,3160,1986
13,3240,1986
59,3283,1986
69,3320,1986
692,3360,1986
45,3480,1986
74,3600,1986
283,3640,1986
104,3760,1986
12,3840,1986
38,4120,1986
20,4400,1986
1523,4480,1986
17,4520,1986
0,4880,1986
27,4920,1986
500,5000,1986
90,5015,1986
38,5080,1986
82,5120,1986
14,5160,1986
55,5190,1986
31,5360,1986
224,5380,1986
162,5483,1986
170,5560,1986
4000,5600,1986
511,5640,1986
56,5720,1986
255,5775,1986
42,5880,1986
14,5920,1986
150,5945,1986
71,5960,1986
418,6160,1986
125,6200,1986
65,6280,1986
70,6440,1986
49,6483,1986
30,6640,1986
43,6760,1986
136,6780,1986
46,6840,1986
77,6920,1986
108,7040,1986
31,7160,1986
60,7240,1986
250,7320,1986
1385,7360,1986
77,7400,1986
266,7440,1986
22,7510,1986
14,7560,1986
199,7600,1986
22,8003,1986
9,8120,1986
24,8160,1986
12,8200,1986
141,8280,1986
7,8400,1986
38,8520,1986
20,8560,1986
34,8720,1986
18,8735,1986
573,8840,1986
128,8960,1986
9,9040,1986
24,9160,1986
6,9320,1986
20,0080,1987
53,0160,1987
36,0200,1987
16,0240,1987
13,0440,1987
534,0520,1987
118,0640,1987
22,0680,1987
268,0720,1987
28,0760,1987
267,0875,1987
47,1000,1987
581,1123,1987
49,1280,1987
34,1440,1987
65,1520,1987
763,1600,1987
76,1640,1987
103,1680,1987
10,1720,1987
32,1760,1987
92,1840,1987
554,1920,1987
35,2000,1987
31,2020,1987
226,2080,1987
217,2160,1987
21,2320,1987
396,2680,1987
18,2760,1987
142,2800,1987
25,2840,1987
16,2960,1987
15,3000,1987
44,3120,1987
20,3160,1987
36,3240,1987
95,3283,1987
78,3320,1987
963,3360,1987
74,3480,1987
127,3600,1987
322,3640,1987
214,3760,1987
17,3840,1987
70,4120,1987
38,4400,1987
2052,4480,1987
29,4520,1987
6,4880,1987
74,4920,1987
810,5000,1987
128,5015,1987
77,5080,1987
126,5120,1987
37,5160,1987
93,5190,1987
54,5360,1987
288,5380,1987
204,5483,1987
291,5560,1987
5066,5600,1987
805,5640,1987
107,5720,1987
374,5775,1987
76,5880,1987
19,5920,1987
237,5945,1987
120,5960,1987
622,6160,1987
220,6200,1987
123,6280,1987
150,6440,1987
82,6483,1987
73,6640,1987
74,6760,1987
209,6780,1987
68,6840,1987
142,6920,1987
159,7040,1987
52,7160,1987
119,7240,1987
410,7320,1987
1721,7360,1987
134,7400,1987
491,7440,1987
42,7510,1987
12,7560,1987
287,7600,1987
41,8003,1987
23,8120,1987
32,8160,1987
28,8200,1987
282,8280,1987
21,8400,1987
65,8520,1987
30,8560,1987
47,8720,1987
24,8735,1987
902,8840,1987
219,8960,1987
19,9040,1987
26,9160,1987
12,9320,1987
27,0080,1988
58,0160,1988
41,0200,1988
38,0240,1988
23,0440,1988
753,0520,1988
150,0640,1988
24,0680,1988
441,0720,1988
42,0760,1988
265,0875,1988
78,1000,1988
783,1123,1988
66,1280,1988
52,1440,1988
81,1520,1988
975,1600,1988
90,1640,1988
143,1680,1988
23,1720,1988
48,1760,1988
122,1840,1988
620,1920,1988
56,2000,1988
53,2020,1988
293,2080,1988
340,2160,1988
24,2320,1988
519,2680,1988
12,2760,1988
143,2800,1988
46,2840,1988
21,2960,1988
32,3000,1988
58,3120,1988
28,3160,1988
42,3240,1988
123,3283,1988
103,3320,1988
1087,3360,1988
122,3480,1988
184,3600,1988
332,3640,1988
248,3760,1988
23,3840,1988
98,4120,1988
40,4400,1988
2344,4480,1988
62,4520,1988
7,4880,1988
68,4920,1988
1038,5000,1988
154,5015,1988
79,5080,1988
154,5120,1988
39,5160,1988
121,5190,1988
89,5360,1988
378,5380,1988
254,5483,1988
280,5560,1988
6269,5600,1988
853,5640,1988
119,5720,1988
440,5775,1988
103,5880,1988
34,5920,1988
306,5945,1988
206,5960,1988
713,6160,1988
248,6200,1988
121,6280,1988
169,6440,1988
70,6483,1988
84,6640,1988
81,6760,1988
261,6780,1988
100,6840,1988
141,6920,1988
213,7040,1988
60,7160,1988
181,7240,1988
573,7320,1988
1818,7360,1988
148,7400,1988
750,7440,1988
53,7510,1988
25,7560,1988
355,7600,1988
44,8003,1988
30,8120,1988
49,8160,1988
25,8200,1988
342,8280,1988
25,8400,1988
71,8520,1988
53,8560,1988
62,8720,1988
37,8735,1988
1028,8840,1988
285,8960,1988
29,9040,1988
58,9160,1988
25,9320,1988
26,0080,1989
87,0160,1989
65,0200,1989
44,0240,1989
22,0440,1989
893,0520,1989
201,0640,1989
39,0680,1989
562,0720,1989
59,0760,1989
353,0875,1989
87,1000,1989
847,1123,1989
107,1280,1989
86,1440,1989
111,1520,1989
1135,1600,1989
113,1640,1989
154,1680,1989
31,1720,1989
66,1760,1989
156,1840,1989
742,1920,1989
69,2000,1989
72,2020,1989
382,2080,1989
419,2160,1989
41,2320,1989
650,2680,1989
14,2760,1989
206,2800,1989
53,2840,1989
33,2960,1989
52,3000,1989
89,3120,1989
54,3160,1989
49,3240,1989
161,3283,1989
95,3320,1989
1280,3360,1989
147,3480,1989
267,3600,1989
410,3640,1989
290,3760,1989
29,3840,1989
127,4120,1989
60,4400,1989
2763,4480,1989
68,4520,1989
16,4880,1989
90,4920,1989
1237,5000,1989
186,5015,1989
89,5080,1989
186,5120,1989
66,5160,1989
206,5190,1989
87,5360,1989
414,5380,1989
313,5483,1989
379,5560,1989
6595,5600,1989
1013,5640,1989
145,5720,1989
562,5775,1989
113,5880,1989
35,5920,1989
383,5945,1989
292,5960,1989
921,6160,1989
342,6200,1989
141,6280,1989
237,6440,1989
89,6483,1989
118,6640,1989
124,6760,1989
351,6780,1989
103,6840,1989
182,6920,1989
279,7040,1989
92,7160,1989
229,7240,1989
683,7320,1989
2115,7360,1989
174,7400,1989
995,7440,1989
95,7510,1989
24,7560,1989
435,7600,1989
87,8003,1989
38,8120,1989
76,8160,1989
47,8200,1989
397,8280,1989
29,8400,1989
68,8520,1989
54,8560,1989
90,8720,1989
39,8735,1989
1225,8840,1989
338,8960,1989
28,9040,1989
62,9160,1989
29,9320,1989
29,0080,1990
114,0160,1990
81,0200,1990
47,0240,1990
24,0440,1990
1191,0520,1990
254,0640,1990
37,0680,1990
793,0720,1990
60,0760,1990
391,0875,1990
108,1000,1990
919,1123,1990
119,1280,1990
69,1440,1990
105,1520,1990
1385,1600,1990
125,1640,1990
184,1680,1990
27,1720,1990
99,1760,1990
156,1840,1990
833,1920,1990
74,2000,1990
67,2020,1990
384,2080,1990
523,2160,1990
45,2320,1990
759,2680,1990
16,2760,1990
224,2800,1990
65,2840,1990
34,2960,1990
49,3000,1990
126,3120,1990
75,3160,1990
52,3240,1990
187,3283,1990
120,3320,1990
1379,3360,1990
202,3480,1990
310,3600,1990
418,3640,1990
319,3760,1990
28,3840,1990
175,4120,1990
59,4400,1990
3207,4480,1990
79,4520,1990
27,4880,1990
129,4920,1990
1397,5000,1990
168,5015,1990
136,5080,1990
215,5120,1990
56,5160,1990
200,5190,1990
128,5360,1990
441,5380,1990
356,5483,1990
404,5560,1990
7455,5600,1990
1005,5640,1990
196,5720,1990
576,5775,1990
111,5880,1990
51,5920,1990
379,5945,1990
326,5960,1990
986,6160,1990
361,6200,1990
155,6280,1990
286,6440,1990
113,6483,1990
124,6640,1990
136,6760,1990
477,6780,1990
121,6840,1990
209,6920,1990
312,7040,1990
117,7160,1990
260,7240,1990
762,7320,1990
2283,7360,1990
218,7400,1990
1173,7440,1990
88,7510,1990
37,7560,1990
513,7600,1990
96,8003,1990
49,8120,1990
70,8160,1990
59,8200,1990
525,8280,1990
51,8400,1990
99,8520,1990
60,8560,1990
83,8720,1990
53,8735,1990
1354,8840,1990
373,8960,1990
48,9040,1990
87,9160,1990
24,9320,1990
49,0080,1991
155,0160,1991
111,0200,1991
58,0240,1991
45,0440,1991
1352,0520,1991
339,0640,1991
93,0680,1991
990,0720,1991
100,0760,1991
380,0875,1991
171,1000,1991
1162,1123,1991
131,1280,1991
130,1440,1991
158,1520,1991
1719,1600,1991
161,1640,1991
261,1680,1991
33,1720,1991
128,1760,1991
202,1840,1991
952,1920,1991
70,2000,1991
90,2020,1991
573,2080,1991
670,2160,1991
51,2320,1991
901,2680,1991
20,2760,1991
258,2800,1991
95,2840,1991
56,2960,1991
71,3000,1991
135,3120,1991
116,3160,1991
60,3240,1991
266,3283,1991
152,3320,1991
1464,3360,1991
244,3480,1991
355,3600,1991
450,3640,1991
399,3760,1991
49,3840,1991
260,4120,1991
95,4400,1991
3845,4480,1991
118,4520,1991
29,4880,1991
148,4920,1991
1739,5000,1991
242,5015,1991
139,5080,1991
306,5120,1991
113,5160,1991
206,5190,1991
140,5360,1991
520,5380,1991
523,5483,1991
580,5560,1991
8774,5600,1991
1041,5640,1991
211,5720,1991
685,5775,1991
150,5880,1991
61,5920,1991
542,5945,1991
427,5960,1991
1381,6160,1991
434,6200,1991
175,6280,1991
297,6440,1991
146,6483,1991
164,6640,1991
170,6760,1991
713,6780,1991
168,6840,1991
315,6920,1991
397,7040,1991
151,7160,1991
260,7240,1991
867,7320,1991
2774,7360,1991
227,7400,1991
1403,7440,1991
110,7510,1991
31,7560,1991
614,7600,1991
114,8003,1991
69,8120,1991
80,8160,1991
45,8200,1991
637,8280,1991
47,8400,1991
120,8520,1991
108,8560,1991
116,8720,1991
75,8735,1991
1697,8840,1991
477,8960,1991
75,9040,1991
89,9160,1991
22,9320,1991
58,0080,1992
192,0160,1992
135,0200,1992
106,0240,1992
49,0440,1992
1500,0520,1992
459,0640,1992
119,0680,1992
1462,0720,1992
146,0760,1992
537,0875,1992
192,1000,1992
1651,1123,1992
153,1280,1992
169,1440,1992
244,1520,1992
2244,1600,1992
241,1640,1992
369,1680,1992
40,1720,1992
219,1760,1992
282,1840,1992
1315,1920,1992
125,2000,1992
100,2020,1992
654,2080,1992
953,2160,1992
102,2320,1992
1120,2680,1992
